   3.5000000e+00	   4.0578863e-02	
   3.7500000e+00	   4.0336182e-02	
   4.0000000e+00	   3.9684916e-02	
   4.2500000e+00	   3.8625063e-02	
   4.5000000e+00	   3.7156624e-02	
   4.7500000e+00	   3.5279599e-02	
   5.0000000e+00	   3.2993988e-02	
   5.2500000e+00	   3.0299791e-02	
   5.5000000e+00	   2.7197008e-02	
   5.7500000e+00	   2.3685638e-02	
   6.0000000e+00	   1.9765683e-02	
   6.2500000e+00	   1.5437141e-02	
   6.5000000e+00	   1.0700014e-02	
   6.7500000e+00	   5.5542999e-03	
   7.0000000e+00	  -0.0000000e+00	
